CENTER,516,551
0.0000,3.815011
0.0200,3.714105
0.0400,3.622587
0.0600,3.527714
0.0800,3.438284
0.1000,3.352876
0.1200,3.261237
0.1400,3.171234
0.1600,3.082522
0.1800,2.993234
0.2000,2.900518
0.2200,2.810497
0.2400,2.723641
0.2600,2.627748
0.2800,2.537920
0.3000,2.442025
0.3200,2.354290
0.3400,2.258243
0.3600,2.159550
0.3800,2.061234
0.4000,1.970649
0.4200,1.870905
0.4400,1.772498
0.4600,1.669918
0.4800,1.568049
0.5000,1.466493
0.5200,1.368544
0.5400,1.267257
0.5600,1.172009
0.5800,1.074274
0.6000,0.972990
0.6200,0.877798
0.6400,0.783486
0.6600,0.686109
0.6800,0.593246
0.7000,0.504247
0.7200,0.410876
0.7400,0.315823
0.7600,0.225601
0.7800,0.138885
0.8000,0.048091
0.8200,6.242992
0.8400,6.151870
0.8600,6.063641
0.8800,5.972555
0.9000,5.881502
0.9200,5.798707
0.9400,5.707387
0.9600,5.617527
1.0000,5.519480
